994,1595336.0,TEDGlobal 2014,1416844254.0
996,1760980.0,TEDGlobal 2014,1425571205.0
1011,1330105.0,TED2014,1396883166.0
1016,2767728.0,TEDGlobal 2012,1349881280.0
1026,982489.0,TEDGlobal 2012,1350572558.0
1029,836345.0,TEDxBerlin,1265625600.0
1031,4384107.0,TED2011,1301667960.0
1069,33698364.0,TED2016,1458067019.0
1070,2201040.0,TED2011,1308667620.0
1084,3132715.0,TEDSummit,1475766433.0
1086,1023237.0,TEDWomen 2010,1295281200.0
1100,1423847.0,TEDxBeaconStreet,1498143807.0
1101,1135702.0,TED2014,1417534901.0
1110,3186801.0,TED2006,1206493200.0
1112,1392216.0,TED2011,1322497367.0
1113,2571495.0,TEDGlobal 2012,1343833364.0
1118,3798878.0,TED2014,1399307090.0
1120,2189931.0,TEDGlobal 2010,1279262220.0
1149,3938937.0,TEDGlobal 2012,1340976996.0
1153,2058012.0,TED2013,1363187248.0
1161,2140813.0,TED2010,1271065080.0
1164,11578305.0,TED2013,1362158807.0
1165,21166351.0,TED2012,1345043885.0
1190,1127231.0,TED2005,1159747860.0
1208,2267544.0,TEDxWomen 2012,1357660761.0
1222,986011.0,TED2008,1225867200.0
1234,1585347.0,TEDxKC,1354118446.0
1250,11401860.0,TED2014,1400511643.0
1261,1041212.0,TED2016,1459781500.0
1273,1507411.0,TED2012,1331136539.0
1275,1344400.0,TEDWomen 2015,1436281566.0
1276,1025766.0,TED2013,1365434089.0
1288,1539196.0,TEDGlobal 2012,1347462247.0
1305,2103556.0,TEDIndia 2009,1259542800.0
1309,3997258.0,TEDIndia 2009,1260147600.0
1328,3116289.0,TEDGlobal 2014,1423584428.0
1332,1473551.0,TED2015,1430838901.0
1334,10460702.0,TED2011,1302530400.0
1338,1517438.0,TED2017,1495031901.0
1341,630040,TEDxMaastricht,1309363260
1342,1323905.0,TEDWomen 2010,1292256591.0
1347,1356393.0,TED2015,1428938413.0
1354,1602963.0,TEDSummit,1478185534.0
1355,1211103.0,TEDWomen 2013,1391443241.0
1367,978649.0,TEDGlobal 2009,1248138000.0
1371,652975,TED2009,1243818000
1381,5414498.0,TEDxSanQuentin,1492786821.0
1401,1868342.0,TED2015,1430491526.0
1404,2391327.0,TED2011,1304951880.0
1406,23472152.0,TEDMED 2009,1263889320.0
1407,1520303.0,TEDGlobal 2010,1287394020.0
1409,893887.0,TED2016,1466107255.0
1416,1851609.0,TED2015,1429542970.0
1430,1340245.0,TEDxMidAtlantic,1467987813.0
1432,1308706.0,TED2012,1332517375.0
1435,1951587.0,TEDxBeaconStreet,1418659182.0
1441,1090801.0,TED2016,1461758055.0
1444,1072706.0,TEDGlobal 2013,1389715302.0
1454,841749.0,TEDGlobal 2012,1343920031.0
1480,579453.0,TEDGlobal 2010,1290523500.0
1482,575335.0,TEDIndia 2009,1272272700.0
1484,2194250.0,TED2013,1378220866.0
1487,569410.0,TED2007,1189666800.0
1493,24390860.0,TED2012,1330720092.0
1501,482569.0,TEDGlobal 2007,1215392400.0
1502,2899024.0,TED2017,1495465574.0
1505,811080.0,TEDGlobal 2014,1418056117.0
1508,1498077.0,TED2013,1370444552.0
1509,928078.0,TEDGlobal 2011,1312988573.0
1510,620216.0,TEDxSummit,1342969159.0
1525,1449764.0,TED2016,1473434215.0
1529,1813390.0,TEDGlobal>Geneva,1457453154.0
1553,4872415.0,TED2014,1398437571.0
1559,807271.0,TED2007,1187712540.0
1567,1614158.0,TEDSummit,1476890306.0
1571,1439606.0,TED2017,1497929981.0
1585,1558803.0,TED2016,1467904870.0
1590,1347405.0,TEDGlobal 2014,1413903516.0
1598,2797019.0,TEDGlobal 2011,1326812704.0
1607,6621104.0,TED2013,1362758503.0
1610,2089085.0,TEDGlobal 2014,1454428545.0
1619,1599963.0,TEDWomen 2016,1481213885.0
1630,754861.0,TEDIndia 2009,1273137600.0
1632,4230403.0,TEDGlobal 2011,1318864131.0
1642,7545412.0,TED2011,1303482960.0
1650,1289059.0,TEDGlobal 2013,1379602886.0
1664,875917.0,TEDSummit,1472484846.0
1677,762614.0,TEDWomen 2010,1306338560.0
1682,985645.0,TED2011,1319813456.0
