id,standing ovation,mean,median,variance,standard deviation,sentence count
3990,0,16.73,15.0,102.94,10.15,183
1822,0,12.25,9.0,91.29,9.55,237
352,0,17.04,16.0,94.17,9.7,103
347,0,19.07,17.0,157.56,12.55,96
2494,0,15.8,16.0,77.91,8.83,103
1604,0,14.88,13.0,60.29,7.76,161
1162,0,19.08,18.5,96.9,9.84,110
1638,0,14.24,12.0,110.64,10.52,249
179,0,19.18,16.0,161.29,12.7,169
3211,0,17.02,12.0,211.25,14.53,81
3205,0,17.95,15.0,144.28,12.01,177
2127,0,21.28,18.0,154.5,12.43,88
2899,0,14.56,12.5,95.21,9.76,138
2721,0,21.45,18.0,200.97,14.18,118
3359,0,19.5,17.0,207.12,14.39,125
2735,0,16.57,14.0,141.12,11.88,97
3826,0,17.49,13.0,173.84,13.18,160
1994,0,12.83,11.0,59.7,7.73,234
2245,0,16.21,13.5,114.83,10.72,154
2251,0,17.27,16.0,74.25,8.62,119
1014,0,17.12,15.5,92.17,9.6,34
580,0,15.22,14.0,80.0,8.94,245
3617,0,14.75,12.0,97.87,9.89,212
2509,0,17.13,14.0,194.91,13.96,67
1955,0,16.89,13.0,141.56,11.9,121
1969,0,17.54,17.0,70.01,8.37,92
231,0,12.48,10.0,73.99,8.6,258
557,0,12.94,11.0,72.25,8.5,144
2045,0,23.87,23.0,151.66,12.31,71
3401,0,23.06,19.0,304.62,17.45,94
1202,0,15.1,13.0,82.4,9.08,208
2086,0,21.21,17.0,196.59,14.02,96
2657,0,12.86,10.0,98.87,9.94,267
2125,0,13.05,12.0,71.55,8.46,37
1376,0,14.33,12.0,80.86,8.99,176
184,0,10.96,8.0,72.55,8.52,55
609,0,22.0,19.5,178.8,13.37,86
91,0,23.69,21.0,224.22,14.97,83
2680,0,12.97,8.0,129.63,11.39,101
3039,0,13.74,11.0,90.86,9.53,245
2496,0,12.3,10.0,62.21,7.89,112
1821,0,14.72,13.0,71.48,8.45,89
1835,0,15.56,15.0,107.77,10.38,132
351,0,15.22,13.0,102.03,10.1,178
3979,0,11.64,9.5,70.89,8.42,148
1834,0,16.25,13.0,151.43,12.31,112
3004,0,24.47,21.0,295.61,17.19,136
3574,0,15.38,12.0,132.35,11.5,71
2093,0,17.44,14.0,158.57,12.59,171
2087,0,15.55,11.0,181.33,13.47,144
2078,0,13.89,10.0,110.6,10.52,131
2722,0,16.41,11.0,215.56,14.68,92
1968,0,14.76,13.5,95.12,9.75,148
3825,0,12.73,10.0,111.8,10.57,233
1767,0,15.59,16.0,80.02,8.95,97
1001,0,19.26,17.0,140.03,11.83,159
595,0,18.42,16.0,139.85,11.83,121
2534,0,14.32,11.0,108.57,10.42,53
3158,0,15.05,13.0,110.69,10.52,191
3671,0,17.96,16.0,122.92,11.09,90
2553,0,12.48,9.0,101.96,10.1,21
257,0,18.19,13.0,186.04,13.64,69
1927,0,20.91,17.0,196.77,14.03,65
1270,0,16.87,16.0,102.56,10.13,105
2989,0,22.53,19.0,410.17,20.25,73
914,0,19.22,17.0,166.12,12.89,79
1462,0,15.91,14.0,92.3,9.61,103
848,0,18.15,16.0,76.27,8.73,116
684,0,13.04,10.0,95.62,9.78,167
3261,0,18.32,16.5,135.63,11.65,120
2143,0,20.17,17.0,258.34,16.07,112
121,0,17.57,16.0,100.08,10.0,190
2369,0,20.98,20.0,144.29,12.01,90
1674,0,19.95,18.0,173.03,13.15,115
2433,0,25.41,18.5,473.72,21.77,96
2341,0,16.5,13.0,119.48,10.93,156
337,0,17.56,13.0,218.62,14.79,187
445,0,19.94,18.0,142.42,11.93,72
2396,0,14.45,13.0,73.48,8.57,123
479,0,10.09,9.0,32.73,5.72,147
1649,0,18.92,14.0,200.05,14.14,135
2340,0,19.87,19.0,113.18,10.64,121
3062,0,14.39,12.0,116.6,10.8,150
487,0,15.36,14.0,108.11,10.4,117
3704,0,14.3,13.0,90.46,9.51,120
3710,0,21.25,20.0,191.72,13.85,166
2181,0,15.24,12.0,109.99,10.49,62
2624,0,18.48,15.0,226.63,15.05,124
2142,0,19.17,14.0,235.11,15.33,63
35,0,19.5,18.0,151.11,12.29,62
1477,0,16.17,15.0,91.1,9.54,137
2793,0,15.21,11.0,191.38,13.83,141
1259,0,20.25,13.5,234.85,15.32,56
2750,0,15.6,13.0,91.48,9.56,80
901,0,13.94,12.0,97.22,9.86,172
1926,0,20.79,18.0,241.68,15.55,91
256,0,12.41,11.0,85.48,9.25,225
2234,0,12.94,11.5,82.46,9.08,110
2546,0,17.77,16.0,128.21,11.32,78
1701,0,13.88,12.0,73.25,8.56,96
1067,0,13.23,11.0,68.69,8.29,208
3670,0,21.84,20.0,178.14,13.35,56
1715,0,17.07,16.0,83.35,9.13,141
1065,0,21.23,20.0,141.53,11.9,35
1071,0,22.66,20.0,171.56,13.1,79
3896,0,15.82,15.0,76.46,8.74,84
2593,0,15.39,15.0,61.77,7.86,132
3855,0,13.82,10.0,132.15,11.5,28
1924,0,19.21,16.0,166.3,12.9,77
2008,0,14.05,11.0,100.85,10.04,147
2746,0,17.31,15.0,100.7,10.03,55
2961,0,15.78,8.0,275.23,16.59,86
2168,0,17.6,16.0,111.84,10.58,105
1449,0,21.06,19.0,101.23,10.06,47
23,0,19.16,19.0,121.21,11.01,85
877,0,21.66,17.0,221.02,14.87,102
2154,0,15.92,14.0,97.1,9.85,130
2801,0,18.01,14.0,241.87,15.55,70
2815,0,14.55,13.0,98.85,9.94,140
1111,0,16.5,14.0,105.03,10.25,240
1663,0,24.11,20.0,279.76,16.73,149
1105,0,20.3,18.5,175.85,13.26,50
334,0,14.54,13.0,98.09,9.9,223
3909,0,18.43,16.0,150.36,12.26,126
3921,0,12.63,12.0,43.56,6.6,105
3934,0,16.73,16.0,129.25,11.37,85
1689,0,23.91,22.0,200.35,14.15,131
335,0,16.99,14.0,159.29,12.62,179
447,0,20.55,18.0,170.44,13.06,115
321,0,19.0,15.5,170.08,13.04,176
490,0,21.22,18.0,205.69,14.34,104
3061,0,16.86,12.5,156.83,12.52,94
651,0,17.06,15.0,128.11,11.32,186
645,0,16.14,13.0,96.96,9.85,163
22,0,21.07,19.0,195.61,13.99,45
1306,0,22.99,20.0,168.08,12.96,112
3277,0,23.33,21.0,171.62,13.1,87
1474,0,18.92,18.0,143.72,11.99,115
3459,0,17.83,14.0,156.12,12.49,166
916,0,20.82,18.0,122.95,11.09,118
2753,0,23.66,20.0,316.3,17.78,105
1514,0,13.12,11.0,67.93,8.24,214
1500,0,20.66,18.5,135.62,11.65,140
241,0,18.22,17.0,114.67,10.71,125
527,0,10.53,9.0,45.74,6.76,183
3868,0,19.21,14.0,229.82,15.16,103
3883,0,14.61,12.0,81.43,9.02,196
2545,0,14.77,11.0,132.64,11.52,195
1716,0,16.59,15.5,81.97,9.05,118
3105,0,16.6,15.0,98.39,9.92,112
3850,0,15.4,12.0,155.59,12.47,145
3878,0,17.31,14.0,150.45,12.27,173
1909,0,14.98,13.0,141.37,11.89,148
872,0,13.45,12.0,65.76,8.11,262
1470,0,14.19,12.0,87.69,9.36,216
1464,0,13.61,11.5,66.17,8.13,114
1302,0,14.41,11.0,101.84,10.09,99
2804,0,16.07,12.0,141.6,11.9,87
2409,0,17.29,15.5,130.55,11.43,112
1841,0,18.31,17.0,118.81,10.9,126
457,0,15.98,15.0,50.78,7.13,61
331,0,9.57,7.0,63.76,7.99,306
1854,0,14.42,12.0,102.62,10.13,212
3925,0,13.51,12.0,78.78,8.88,186
3716,0,15.2,13.5,97.77,9.89,148
495,0,20.36,18.5,121.84,11.04,42
3070,0,13.57,10.0,132.08,11.49,86
1883,0,17.02,14.0,117.42,10.84,183
1897,0,20.64,14.0,423.97,20.59,113
898,0,21.43,16.0,308.54,17.57,110
2193,0,14.84,11.0,141.07,11.88,87
2839,0,26.41,21.0,369.75,19.23,78
3266,0,18.49,16.0,126.05,11.23,112
2178,0,16.75,14.0,105.21,10.26,272
2636,0,16.31,14.5,128.32,11.33,100
720,0,19.56,16.0,168.41,12.98,163
734,0,17.95,17.0,122.63,11.07,91
1511,0,19.84,18.0,167.19,12.93,101
1277,0,16.05,13.0,91.05,9.54,83
3474,0,14.27,11.0,98.77,9.94,107
1908,0,18.68,17.0,137.69,11.73,179
244,0,19.4,18.0,119.61,10.94,137
2583,0,14.24,12.0,63.92,7.99,122
1934,0,21.61,21.0,105.99,10.3,89
3689,0,17.92,16.0,131.17,11.45,85
3104,0,18.44,17.0,123.04,11.09,87
