id,standing ovation,mean,median,variance,standard deviation,sentence count
2179,1,12.46,10.0,65.81,8.11,202
2810,1,15.59,12.0,135.79,11.65,172
1100,1,19.27,18.0,179.86,13.41,96
319,1,15.35,12.0,127.72,11.3,159
3930,1,16.85,16.0,88.48,9.41,194
1699,1,19.05,16.0,211.41,14.54,191
3919,1,12.92,10.0,78.17,8.84,123
1101,1,20.97,19.0,211.15,14.53,130
3064,1,21.97,17.5,211.53,14.54,124
1288,1,20.82,20.0,155.92,12.49,115
2795,1,11.77,9.0,92.53,9.62,86
708,1,18.45,17.0,145.22,12.05,102
3306,1,12.02,10.0,66.93,8.18,100
1505,1,19.39,14.0,282.94,16.82,113
3676,1,17.05,13.0,126.85,11.26,76
2224,1,19.13,17.0,160.64,12.67,89
2230,1,18.96,16.0,150.06,12.25,199
2218,1,16.98,15.0,113.36,10.65,172
285,1,9.62,9.0,23.4,4.84,58
520,1,11.34,9.0,62.67,7.92,201
252,1,22.04,18.0,290.2,17.04,150
1275,1,14.03,11.0,91.44,9.56,103
1261,1,17.55,16.0,115.53,10.75,140
3476,1,14.67,11.0,138.56,11.77,55
2152,1,17.07,14.5,169.74,13.03,176
3516,1,22.98,16.0,409.42,20.23,126
2185,1,14.97,13.0,99.8,9.99,71
3072,1,19.71,16.0,206.54,14.37,162
1842,1,15.6,14.0,92.37,9.61,67
468,1,16.88,15.0,142.31,11.93,245
2386,1,18.88,16.0,156.22,12.5,180
1664,1,22.2,21.0,210.3,14.5,74
2423,1,22.37,19.0,226.25,15.04,119
3729,1,14.04,11.0,126.33,11.24,224
131,1,14.38,12.0,63.18,7.95,63
680,1,13.39,10.0,113.14,10.64,110
694,1,18.43,18.5,103.57,10.18,42
1328,1,16.22,14.0,108.76,10.43,243
30,1,14.41,13.0,87.58,9.36,131
904,1,14.62,14.0,75.11,8.67,118
3339,1,16.28,13.0,141.84,11.91,168
1923,1,11.74,10.0,58.97,7.68,239
3675,1,13.18,11.0,88.82,9.42,55
3661,1,16.22,9.0,371.27,19.27,189
